,Retweets,Likes,Tweet
42,86,2234,"Even if you know a lot about Barça, this quiz is next to impossible ⚠️
https://t.co/SpVO4nICLs"
43,426,10810,"Former Barça player Francesc Rodríguez, better known as ""Rodri,"" passed away on Tuesday. He played for the team from 1958 to 1966 and was a member of the coaching staff until the 1970s. RIP 🙏 https://t.co/UzZhisDUnd"
44,159,2605,"Another day at the office 😎

Enjoy the full video 🍿🎥👇
https://t.co/mj68C33hos https://t.co/X0dHOgXUPA"
45,534,11208,"Proud to see all the @FCBmasia league champions this season!

💙 #MadeInLaMasia ❤️ https://t.co/G0INVHD9PK"
46,162,2634,"◾ ©
◾ 5
◾ 120
☑️ All of the above

Did you know @5sergiob was the 120th player from La Masia to play for Barça? 

#MadeInLaMasia https://t.co/SCodWNtDGE"
47,139,1914,"🗂 𝗧𝗜𝗘𝗥 𝗟𝗜𝗦𝗧 with @3gerardpique! 🗂

The Barça center back ranks his best matches!

Do you agree with him? 🤔 https://t.co/RhSyNXzHOR"
48,105,2318,"𝐆𝐈𝐕𝐄𝐀𝐖𝐀𝐘 𝐓𝐔𝐄𝐒𝐃𝐀𝐘 🚨

Make sure you don't miss the chance! 👀

🙌 @fbs_news"
49,306,3760,"📢 Against LGBTI phobia, everyone plays in the same team. 

#stopLGBTIphobia #LGBTI #IDAHO 🏳️‍🌈 https://t.co/BkUKQyVIL7"
50,535,16116,20 years since Kubala passed away. Always in our memories. https://t.co/WJI697yqhw
51,125,2385,"New episode of 𝐂𝐚𝐦𝐩 𝐍𝐨𝐮 𝐊𝐢𝐭𝐜𝐡𝐞𝐧 OUT NOW! 👩‍🍳

Who's going to win? 😏

Find out here 👉 https://t.co/Hbz3qhKqP6 https://t.co/9ZInvo0KsQ"
52,370,5303,"G⚽AL OF THE DAY

#OTD in 2006
🏆 Champions League Final https://t.co/NjdvL0i4dk"
53,142,3832,Bullseye! 🎯 @DaniAlvesD2 https://t.co/tcE4fYQNr9
54,127,2771,You'll want to turn on the volume for this one 🎧 https://t.co/9cAzIz4k2x
55,145,4581,"All roads lead to Xavi 
https://t.co/Xf1qlk9e0Q"
56,128,3945,"Mika Mármol, the 1️⃣9️⃣3️⃣rd player from @FCBmasia to debut with the first team! #MadeInLaMasia https://t.co/rSj9bWbIvV"
57,234,4579,Just do what Dani does 🕺 https://t.co/3Vq7izbj0i
58,1300,23737,"Where there's a will, there's away 💪 https://t.co/8rbn86c9Kv"
59,304,11881,The Slingshot 🚀 https://t.co/v8VvVtB5CC
60,290,11217,Happy campers 😀😀 https://t.co/PnDdepBN9q
61,217,3731,"One year ago today! @FCBfemeni lifted their first @UWCL trophy!

Number two could come this Saturday! 💪🔵🔴 https://t.co/24kknxOtAG"
62,132,2582,"ℹ FC Barcelona is reforming the Statutes and members can participate in the process

🔗 More details: https://t.co/Ng23NAG8fz https://t.co/pkJhXh3npP"
63,173,4527,"🚨 NEW KICKOFF TIME CONFIRMED!
⚽ #BarçaVillarreal
📅 Sunday, May 22
⏰ 10pm CEST! https://t.co/AaLtsmYmEd"
64,1430,46686,𝗔𝗡𝗦𝗨 𝗙𝗔𝗧𝗜 10 https://t.co/35otaAwLDG
65,208,3038,"G⚽AL OF THE DAY

Tick Tock Tick Tock... 🔜 UEFA Women's Champions League final

Let's go @FCBfemeni! https://t.co/bdA8Z2n9WE"
66,105,2702,"Mika Mármol is the 5th #MadeInLaMasia player to debut with Xavi 💙❤️
https://t.co/asKBJ8kJvD"
67,161,3269,"""If they had told us in December that we would end up in second, we wouldn't have believed it.""

      — @RiquiPuig on Barça's season https://t.co/LTPvZ3VXdH"
68,108,2812,A look back at Sunday's #GetafeBarça
69,170,3131,"""We've won against the top 10 teams in La Liga, but dropped points that we should have won.""

      — @5sergiob on Barça's season https://t.co/3iUGFhGnm5"
70,340,12737,🆎 𝐀lejandro 𝐁alde #MadeInLaMasia https://t.co/nltdMrQGla
71,383,12740,✨ Barça DEBUT for Mika Mármol! #MadeInLaMasia https://t.co/epGBxpXkS5
72,138,2555,"Two main objectives achieved at Getafe
https://t.co/4blXniK6LP"
73,519,12604,Full Time #GetafeBarça https://t.co/YnPY0i5Yji
74,74,1755,"🔄 Substitution

↑🟢 Mika Mármol
↓🔴 Balde
 
#GetafeBarça"
75,365,18592,💧
76,53,1789,"🔄 Substitution

↑🟢 @LuukdeJong9 
↓🔴 @Memphis 
 
#GetafeBarça"
77,82,2756,"🔄 Substitution

↑🟢 @ANSUFATI 
↓🔴 @Auba 
 
#GetafeBarça"
78,154,3844,"HALFTIME

0️⃣ Getafe
0️⃣ Barça

#GetafeBarça https://t.co/sljIDPbjBQ"
79,204,8974,"Water break! 
💦 💦 💦 💦 
#GetafeBarça"
80,734,7562,"Barça, against Homophobia, Biphobia, and Transphobia 

💜 Today we are wearing our purple kit to give visibility to this social struggle and help raise awareness of the International Day Against Homophobia, Biphobia, and Transphobia, which is observed on May 17.

#MésQueUnClub https://t.co/i1Pao480Li"
81,170,3321,"Here we go!
𝙎𝙊𝙈-𝙃𝙄, 𝘾𝙐𝙇𝙀𝙍𝙎 !!
#GetafeBarça"
82,115,1844,💪 Ready for #GetafeBarça! 🔥 https://t.co/1LWjehKSoF
83,104,1953,"Pitch inspection: complete ✅
#GetafeBarça https://t.co/OWhFyZQyQE"
